HG02717.1	HG02717#1#JAHAOS010000070.1:4397069-4401435	c1_HG02717.1
HG02717.1	HG02717#1#JAHAOS010000070.1:4378461-4387731	c2_HG02717.1
HG02717.2	HG02717#2#JAHAOR010000025.1:8702139-8706505	c1_HG02717.2
HG02717.2	HG02717#2#JAHAOR010000025.1:8683559-8692810	c2_HG02717.2
HG02723.1	HG02723#1#JAHEOU010000143.1:4020708-4025074	c1_HG02723.1
HG02723.1	HG02723#1#JAHEOU010000143.1:4034419-4043676	c2_HG02723.1
HG02723.2	HG02723#2#JAHEOT010000093.1:2104376-2108742	c1_HG02723.2
HG02723.2	HG02723#2#JAHEOT010000093.1:2085797-2095029	c2_HG02723.2
HG02818.1	HG02818#1#JAHEOS010000080.1:4022603-4026970	c1_HG02818.1
HG02818.1	HG02818#1#JAHEOS010000080.1:4036308-4045560	c2_HG02818.1
HG02818.2	HG02818#2#JAHEOR010000121.1:8715503-8719869	c1_HG02818.2
HG02818.2	HG02818#2#JAHEOR010000121.1:8696896-8706142	c2_HG02818.2
HG02886.1	HG02886#1#JAHAOU010000134.1:4344581-4348948	c1_HG02886.1
